0.0,0.347
0.55,0.352
0.564,0.294
0.566,0.238
0.56,0.15
0.541,0.115
0.48,0.092
0.407,0.089
0.349,0.095
0.313,0.118
0.31,0.161
0.312,0.226
0.309,0.3
0.313,0.379
0.315,0.449
0.316,0.511
0.313,0.577
0.311,0.648
0.299,0.709
0.266,0.757
0.206,0.764
0.126,0.763
0.068,0.738
0.054,0.684
0.064,0.587
0.061,0.562
0.105,0.533
0.216,0.513
0.297,0.516
0.416,0.518
0.502,0.519
0.588,0.525
0.65,0.521
0.699,0.5
0.751,0.49
0.769,0.455
0.773,0.399
0.774,0.348
0.781,0.306
0.806,0.274
0.85,0.258
0.899,0.275
0.937,0.311
0.952,0.354
0.955,0.414
0.955,0.484
0.954,0.551
0.943,0.607
0.933,0.64
0.909,0.674
0.873,0.687
0.812,0.69
0.731,0.679
0.68,0.674
0.603,0.675
0.562,0.686
0.52,0.699
0.501,0.716
0.487,0.742
0.483,0.779
0.48,0.813
0.479,0.858
0.475,0.905
0.479,0.95
0.479,0.957
0.479,0.971
